id,run_id,title,abstract,year,doi,url,source,created_at
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1238190,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,The Concept of Active Learning and the Measurement of Learning Outcomes: A Review of Research in Engineering Higher Education,"Active learning has gained growing political, instructional, and research interest. However, the definitions of active learning are wide. The learning outcomes related to it have been mostly positive but the measurement methods are not without problems. This review provides an overview of active learning, especially in the context of engineering higher education, by answering two research questions: (1) How is the concept of active learning defined and justified in engineering higher education research? (2) What are the learning outcomes connected to active learning and how is learning measured in engineering higher education research? Sixty-six empirical articles were analyzed inductively with qualitative content analysis. The analysis showed that active learning was defined in various ways, and in some articles, it was not defined at all. In addition, justification (theoretical or empirical) for the use of active learning was seldomly reported. Finally, the indicators used to measure the impact of active learning on students' learning outcomes were mostly based on students' self-report data and focused on course specific development in subject-related knowledge. More thorough descriptions and theoretical justifications, as well as the consideration of learning outcomes with appropriate research methods, could reinforce the transparency of empirical interventions and the application of active learning.",2019,,https://eric.ed.gov/?id=EJ1238190,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1476371,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Instructor Perceptions of Active Learning in Higher Education In Oman and Students&apos; Commitment to the Approach,"Purpose: Creating active learning opportunities requires building a learning culture in which the instructor plays the role of a facilitator, leaving the ultimate responsibility of learning to the student. The question, however, is whether this is happening in practice. This study aims to answer this question through instructors' perceptions of active learning in a higher education institution in Oman. Design/methodology/approach: The study participants were 85 instructors working for a private university in Oman. Data were collected by surveying these instructors' perceptions of active learning practice indicators, such as active teaching strategies and student educational practices. This was followed by interviewing a random sample of the same instructors (N = 10) to obtain a deeper understanding of their implementation of the active learning approach. Findings: Data collected through the survey revealed that the shift from passive to active learning in higher education in Oman created a discrepancy between instructors' willingness to practice active learning and learners' unpreparedness to become autonomous learners. The follow-up interview findings confirmed this point, revealing instructors' negative perceptions of student participation and engagement in out-of-class activities. Originality/value: This study is among the first to investigate the application of active learning in a higher education institution in Oman from the perspective of instructors.",2025,,https://eric.ed.gov/?id=EJ1476371,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:scholar:2fae40d60015ac2ccc866a74fad1507a,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,The curious construct of active learning,"… of active learning and traditional lecture. On that basis, we concluded that active learning—… to lecture and does serve a purpose in higher education classroom practice—is an umbrella …",2021,,https://journals.sagepub.com/doi/abs/10.1177/1529100620973974,Scholar,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:scholar:36d607441e9fb79b0d2c81b97cd06c4b,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,"Active learning in engineering education. A review of fundamentals, best practices and experiences","… The general goal is to ensure that students are acquiring the knowledge and skills that are deemed to be essential to success in school, higher education, careers and adult life [16] …",2019,,https://link.springer.com/article/10.1007/s12008-019-00557-8,Scholar,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1289838,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Quantifying the Effects of Active Learning Environments: Separating Physical Learning Classrooms from Pedagogical Approaches,"Prior findings on the effects of active learning environments were limited by both research design and data-analysis techniques, such as lack of controls over confounding factors and misuse of statistical modeling. We (1) investigated the effects of active learning environments on student achievement and motivation and (2) overcame the limitations of prior studies. Using a three-group design, the effects of physical learning environments and pedagogical approaches were successfully separated. Active learning environments were found to have little influence, whereas active learning and teaching were found to have a significantly-positive influence on student achievements. The findings contribute to understandings of active learning environments in higher education, and invite more debate about whether further investments in active learning classrooms are worthwhile.",2021,,https://eric.ed.gov/?id=EJ1289838,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1301456,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Implementation of a Flipped Active-Learning Approach in a Community College General Biology Course Improves Student Performance in Subsequent Biology Courses and Increases Graduation Rate,"Active learning has been shown to improve student learning and engagement in many 4-year institutions; however, large-scale studies on the efficacy of active learning in community colleges are lacking. In this study, we investigate the effects of active learning in a first semester majors' general biology course at a large, suburban community college by designing and implementing a flipped active-learning model in the course. Our study included 33 sections of general biology class, 16 instructors, and ~800 students. Students in active-learning sections performed significantly higher on common exam questions than their peers in traditional sections with primarily didactic pedagogy. Although students from the active-learning sections had similar pass rates and grade distributions, they passed subsequent biology courses with significantly higher grades. The 3-year graduation rate for students from active-learning sections was also significantly higher. These findings suggest that a flipped active-learning pedagogy is more effective than traditional didactic methods for teaching general biology concepts and that the improvement in student learning may lead to higher graduation rates.",2021,,https://eric.ed.gov/?id=EJ1301456,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1420012,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,It&apos;s about Time: Exploring the Dose-Dependent Effects of Active Learning on Students of Different Social Personalities in an Upper-Level Biology Course,"Active learning is the new standard for teaching in higher education. As more faculty seek to expand their teaching practices by including active-learning activities that promote higher levels of learning, many are doing so in small doses by temporarily postponing traditional lectures in favor of group activities. While there is evidence demonstrating that active-learning practices can facilitate higher performance and information retention, our previous work showed that social personality differences can affect an individual's performance in group-oriented active-learning exercises. The results from this work indicated a possible dose-dependent effect driving the correlations observed between performance and social personality compared with passive lectures. This study builds on our previous work by analyzing whether hosting comparatively few active-learning classes is leading to a dose-dependent effect on student performance by personality type in the active-learning setting. Our findings from this research demonstrate that social personality-based differences in performance on topics taught using active learning diminish with increased exposure to active learning. We also found that students of all personality types perform better on memorization-based questions than on higher-order questions in general, but their performance on higher-order thinking questions improved after participating in active learning.",2024,,https://eric.ed.gov/?id=EJ1420012,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1415910,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Defining Active Learning: A Restricted Systematic Review,"What is active learning? While active learning has been demonstrated to have positive impacts on student learning and performance, defining the concept has been elusive. Previous research examining active learning definitions in STEM fields found that the vast majority of published articles did not define active learning, and those that did defined active learning as interacting, engaging, or not lecturing. The current research extends this STEM-focused work by examining both social science and STEM science publications. A restricted systematic review of literature was conducted using the SCOPUS database, resulting in 547 relevant articles focused on active learning from 2017 to 2022. An examination of the articles indicated that 71% of the reviewed articles did not define active learning and that the instructional strategies most often cited as fostering active learning emphasized social interactive learning strategies (e.g., small groups, team-based learning, discussion, and cooperative learning), as well as critical thinking strategies (e.g., problem-based learning, case-based learning, and inquiry-based learning). In addition, an in-depth qualitative analysis of the 161 definitions provided within the articles yielded three main emergent themes: (a) active learning is defined as grounded in student-centered constructivist theory, (b) active learning is defined as promoting higher-order thinking and deep learning, and (c) active learning is defined as an instructional strategy involving activity, participation, and engagement. Given these main findings, a representative definition was created: Active learning is a student-centered approach to the construction of knowledge focused on activities and strategies that foster higher-order thinking.",2023,,https://eric.ed.gov/?id=EJ1415910,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:eric:EJ1346374,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Introduction to Active Learning Techniques,"This introduction presents Active Learning Methodology, surveying its history, main existing tools and supporting evidence, with an emphasis on mathematics and higher education, in particular engineering studies. This work is part of the DrIVE-Math project, developing innovative mathematical teaching strategies in engineering studies.",2022,,https://eric.ed.gov/?id=EJ1346374,ERIC,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:scholar:ba86f70ae0bb0530fbda40325a98e998,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,From teacher transmission of information to student feedback literacy: Activating the learner role in feedback processes,"For feedback processes to be effective, they need to involve students actively in generating, processing and responding to feedback information. Teacher transmission approaches are …",2022,,https://journals.sagepub.com/doi/abs/10.1177/1469787420945845,Scholar,2025-09-04 00:16:36.047956
